Year,Medals,GDP,Population,Is_Host,Is_Host_Close_Center,Is_Host_Close_GMT1,Is_Host_Close_Main,Is_Host_Close_West,Is_Host_Close_Wide,Is_Communist,NOC,Is_Host_Pre,Is_Host_Post
1956,0.0,1278.0,9062.0,False,False,False,False,False,False,False,AFG,False,False
1960,0.0,1326.0,9829.0,False,False,False,False,False,False,False,AFG,False,False
1964,0.0,1291.0,10744.0,False,False,False,False,False,False,False,AFG,False,False
1968,0.0,1290.0,11825.0,False,False,False,False,False,False,False,AFG,False,False
1972,0.0,1007.0,13079.0,False,False,False,False,False,False,False,AFG,False,False
1980,0.0,1019.0,15044.0,False,False,False,False,False,False,False,AFG,False,False
1988,0.0,1101.0,13169.0,False,False,False,False,False,False,False,AFG,False,False
1996,0.0,600.175264462535,20111.0,False,False,False,False,False,False,False,AFG,False,False
2004,0.0,869.039272786813,25698.0,False,False,False,False,False,False,False,AFG,False,False
2008,0.10449320794148381,1319.60736728553,27706.0,False,False,False,False,False,False,False,AFG,False,False
2012,0.10395010395010396,1945.0,30420.0,False,False,False,False,False,False,False,AFG,False,False
2016,0.0,1931.2438124834,33332.0,False,False,False,False,False,False,False,AFG,False,False
1972,0.0,3451.0,2263.554,False,False,False,False,False,False,True,ALB,False,False
1992,0.0,2841.76516466455,3077.55,False,False,False,False,False,False,True,ALB,False,False
1996,0.0,3965.68531531917,3144.19,False,False,False,False,False,False,True,ALB,False,False
2000,0.0,4808.47961481352,3064.76,False,False,False,False,False,False,True,ALB,False,False
2004,0.0,6419.87039572498,3013.55,False,False,False,False,False,False,True,ALB,False,False
2008,0.0,8522.12984128861,2934.27,False,False,False,False,False,False,True,ALB,False,False
2012,0.0,9634.33370462354,2887.57,False,False,False,False,False,False,True,ALB,False,False
2016,0.0,10547.2552096775,2863.37,False,False,False,False,False,False,True,ALB,False,False
2024,0.19157088122605362,14485.629337091434,2377.128,False,False,False,False,False,False,True,ALB,False,False
1964,0.0,2879.0,11612.858,False,False,False,False,False,False,False,ALG,False,False
1968,0.0,3151.0,13146.267,False,False,False,False,False,False,False,ALG,False,False
1972,0.0,3746.0,14760.787,False,False,False,False,False,False,False,ALG,False,False
1980,0.0,5024.0,18806.061,False,False,False,False,False,False,False,ALG,False,False
1984,0.24937655860349126,5361.0,21340.546,False,False,False,False,False,False,False,ALG,False,False
1988,0.0,4850.0,23880.766,False,False,False,False,False,False,False,ALG,False,False
1992,0.20387359836901123,4850.22333074477,26386.97,False,False,False,False,False,False,False,ALG,False,False
1996,0.356718192627824,5451.63444208551,28721.5,False,False,False,False,False,False,False,ALG,False,False
2000,0.5405405405405406,6834.55387976764,30514.67,False,False,False,False,False,False,False,ALG,False,False
2004,0.0,9182.29418389124,32320.2,False,False,False,False,False,False,False,ALG,False,False
2008,0.20898641588296762,11475.0024058251,34480.04,False,False,False,False,False,False,False,ALG,False,False
2012,0.10395010395010396,13392.9447019401,37214.94,False,False,False,False,False,False,False,ALG,False,False
2016,0.20554984583761562,14198.2727612004,40087.3,False,False,False,False,False,False,False,ALG,False,False
2024,0.28735632183908044,14164.049475313064,46814.308,False,False,False,False,False,False,False,ALG,False,False
1980,0.0,1532.0,6743.08,False,False,False,False,False,False,False,ANG,False,False
1988,0.0,1360.0,8023.39,False,False,False,False,False,False,False,ANG,False,False
1992,0.0,1389.32948669997,8898.84,False,False,False,False,False,False,False,ANG,False,False
1996,0.0,1533.98393133996,10312.91,False,False,False,False,False,False,False,ANG,False,False
2000,0.0,2013.63622951894,11676.48,False,False,False,False,False,False,False,ANG,False,False
2004,0.0,3064.29865043472,13480.16,False,False,False,False,False,False,False,ANG,False,False
2008,0.0,6743.74819580277,15657.93,False,False,False,False,False,False,False,ANG,False,False
2012,0.0,8376.94607723474,18201.96,False,False,False,False,False,False,False,ANG,False,False
2016,0.0,7819.14730305939,21097.59,False,False,False,False,False,False,False,ANG,False,False
1900,0.0,4583.0,4693.0,False,False,False,False,False,False,False,ARG,False,False
1908,0.0,5829.0,6341.0,False,False,False,False,False,False,False,ARG,False,False
1920,0.0,5536.0,8861.0,False,False,False,False,False,False,False,ARG,False,False
1924,1.3513513513513513,6464.0,10054.0,False,False,False,False,False,False,False,ARG,False,False
1928,1.7632241813602016,6840.0,11282.0,False,False,False,False,False,False,False,ARG,False,False
1932,0.9708737864077669,5614.0,12402.0,False,False,False,False,False,False,False,ARG,False,False
1936,1.4799154334038054,6236.0,13260.0,False,False,False,False,False,False,False,ARG,False,False
1948,1.3861386138613863,8372.0,16307.0,False,False,False,False,False,False,False,ARG,False,False
